"Appendix Table 24_weighted. Relationship of victim to offender, 1980-2008--WEIGHTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Husband,Wife,Common-law Husband,Common-law Wife,Mother,Father,Son,Daughter,Brother,Sister,In-law,Stepfather,Stepmother,Stepson,Stepdaughter,Other Family,Neighbor,Acquaintance,Boyfriend,Girlfriend,Ex-husband,Ex-wife,Employee,Employer,Friend,Homosexual Relation,Other Known,Stranger,Unknown Relationship
1980,645,931,167,132,126,172,281,215,248,53,235,65,8,56,21,356,323,5665,279,405,38,73,12,9,793,43,378,3066,8245
1981,678,944,162,124,127,204,293,212,289,39,249,66,13,47,24,339,348,5824,284,401,44,84,20,13,867,69,610,3485,6660
1982,543,874,157,122,141,159,347,218,234,44,223,70,10,38,35,361,339,5361,272,390,43,81,12,23,711,87,656,3559,5900
1983,542,829,155,121,143,155,326,204,243,50,196,58,9,39,19,363,266,4874,271,416,34,85,13,19,794,70,675,2892,5449
1984,426,833,128,89,133,156,244,206,249,58,172,69,8,42,28,345,234,4924,278,446,35,58,18,15,731,87,568,3267,4843
1985,465,896,106,94,133,147,296,249,212,41,185,58,12,51,18,307,249,5157,256,471,30,78,25,21,781,72,709,2756,5104
1986,475,848,74,118,120,151,349,217,209,42,169,64,11,32,15,344,290,5323,299,528,43,80,15,15,1073,63,816,2677,6152
1987,415,847,88,100,123,141,293,239,228,59,185,55,8,44,26,398,276,5208,291,463,26,65,8,27,1067,77,741,2663,5938
1988,383,853,82,117,133,144,311,219,205,52,165,53,12,33,23,314,234,5316,274,510,15,79,16,18,878,71,909,2541,6720
1989,393,719,95,99,143,149,306,258,210,48,158,50,5,37,29,365,247,5468,305,538,23,50,18,15,1021,51,782,2807,7113
1990,365,794,88,88,111,141,319,220,237,43,132,47,16,39,28,363,256,5808,299,512,20,84,20,22,985,53,785,3363,8201
1991,293,791,76,83,157,156,340,253,217,31,130,41,8,33,19,382,262,5314,299,553,21,56,13,17,875,55,1067,3733,9428
1992,280,716,88,130,142,122,321,221,177,44,126,47,1,37,25,345,229,4670,251,526,17,59,12,22,891,31,1720,3215,9295
1993,270,747,60,109,142,139,304,231,185,38,87,44,4,42,32,351,217,4855,259,617,11,75,18,25,901,54,1665,3446,9602
1994,273,674,75,100,119,155,297,208,173,50,93,44,5,46,16,343,184,4755,238,547,13,70,7,14,774,65,1674,3054,9262
1995,210,657,59,76,136,124,277,240,132,28,87,33,4,29,27,349,189,4272,207,529,12,45,6,20,624,37,1432,3288,8481
1996,204,642,44,85,112,131,276,218,118,24,86,24,7,25,30,299,191,4305,196,505,7,59,9,14,566,35,1365,2762,7311
1997,171,574,33,63,89,132,306,227,147,26,87,37,10,34,17,290,177,3938,175,505,11,55,3,15,509,26,964,2395,7190
1998,164,649,47,70,117,118,278,214,106,36,91,32,6,33,20,266,143,3627,211,523,13,60,16,19,500,25,903,2209,6472
1999,150,569,27,51,111,128,268,243,92,32,66,44,5,20,25,295,111,3190,173,524,12,48,5,23,482,21,799,1837,6170
2000,157,607,29,57,119,106,225,183,112,28,58,35,8,34,29,289,131,2803,173,507,11,55,11,8,346,18,851,2047,6550
2001,132,582,18,60,113,91,273,223,85,33,91,30,8,30,34,274,105,2781,170,499,9,41,6,14,400,19,735,2100,7080
2002,115,579,27,49,131,91,233,217,102,25,59,31,8,34,19,291,127,2934,167,502,8,45,3,11,405,31,752,2282,6926
2003,117,528,15,56,113,123,275,187,98,32,70,32,3,39,27,301,128,3010,175,523,8,47,14,26,393,17,775,2052,7343
2004,140,547,15,62,125,106,230,228,97,33,74,30,8,27,21,282,131,2862,154,499,10,43,8,13,344,32,830,2081,7116
2005,126,572,13,49,134,96,245,198,110,27,76,40,4,22,20,282,101,2829,162,518,8,46,3,8,355,22,800,2322,7550
2006,111,547,20,58,131,99,267,187,94,26,69,33,2,36,25,287,145,3052,166,502,6,31,15,11,387,19,878,2163,7661
2007,126,541,12,41,104,90,242,233,104,31,66,27,5,31,33,271,126,2604,165,540,16,62,5,9,544,33,911,2192,7767
2008,113,549,10,41,140,108,258,218,116,26,71,26,3,30,28,329,124,2551,160,554,9,63,6,10,582,27,959,1996,7164
